threads,mida_dataset,repeticio,temps_segons
1,30,0,18.605121399999916
1,30,1,16.8128085999997
1,30,2,16.284562300003017
1,30,3,15.799546599999303
1,30,4,16.848941500000365
1,30,5,18.655966599999374
1,30,6,18.060743099998945
1,30,7,17.234573900001124
1,75,0,44.0022839000012
1,75,1,46.1371493000006
1,75,2,45.75920099999712
1,75,3,41.07932140000048
1,75,4,39.4330958999999
1,75,5,39.53853139999774
1,75,6,44.12232489999951
1,75,7,43.658603299998504
1,150,0,78.817900500002
1,150,1,79.1192267999977
1,150,2,81.09163450000051
1,150,3,80.50128020000193
1,150,4,79.38394329999937
1,150,5,79.08596839999882
1,150,6,79.89311920000182
1,150,7,79.4694296000016
1,225,0,133.27725949999876
1,225,1,120.48580260000017
1,225,2,125.69872770000075
1,225,3,122.30134109999926
1,225,4,151.6862809000013
1,225,5,123.53402140000253
1,225,6,125.38801239999884
1,225,7,125.23074929999711
1,300,0,164.66331730000093
1,300,1,166.40499040000213
1,300,2,165.2875234000021
1,300,3,160.00104049999936
1,300,4,160.07631910000055
1,300,5,158.73910120000073
1,300,6,159.240982299998
1,300,7,160.43032459999813
2,30,0,8.362365499997395
2,30,1,8.383347899998626
2,30,2,8.15438439999707
2,30,3,8.167928800001391
2,30,4,8.177709999999934
2,30,5,8.52125160000287
2,30,6,8.549451099999715
2,30,7,8.163523399998667
2,75,0,21.62993660000211
2,75,1,20.54763499999899
2,75,2,21.310364900000422
2,75,3,21.400866099997074
2,75,4,20.99779049999779
2,75,5,20.985161600001447
2,75,6,21.242485299997497
2,75,7,21.23519910000323
2,150,0,41.129836299998715
2,150,1,41.25866359999782
2,150,2,41.336575500001345
2,150,3,42.33746059999976
2,150,4,41.34999510000125
2,150,5,41.613185900001554
2,150,6,41.245103199998994
2,150,7,40.663964399998804
2,225,0,62.19799310000235
2,225,1,62.47091119999823
2,225,2,63.06952000000092
2,225,3,62.01990250000017
2,225,4,61.7810662999982
2,225,5,62.63859339999908
2,225,6,62.32146859999921
2,225,7,63.14740979999988
2,300,0,83.76539390000107
2,300,1,82.96975740000198
2,300,2,83.82935160000125
2,300,3,84.58904249999978
2,300,4,82.72967000000062
2,300,5,83.00210249999873
2,300,6,83.20381120000093
2,300,7,86.19554770000104
4,30,0,4.584017199998925
4,30,1,4.822523999999248
4,30,2,4.5199210999999195
4,30,3,4.871075099999871
4,30,4,5.0626697999978205
4,30,5,5.131752799999958
4,30,6,4.72726799999873
4,30,7,4.771218899997621
4,75,0,11.272361899998941
4,75,1,12.034919199999422
4,75,2,12.330267700002878
4,75,3,11.701276899999357
4,75,4,11.980156299996452
4,75,5,11.151039100001071
4,75,6,11.844598899999255
4,75,7,12.137231799999427
4,150,0,22.997433399999863
4,150,1,23.647484499997518
4,150,2,22.51611729999786
4,150,3,23.013767300002655
4,150,4,22.984774299999117
4,150,5,22.422082000000955
4,150,6,23.10720090000177
4,150,7,22.541480100000626
4,225,0,35.116007500000705
4,225,1,34.89135190000161
4,225,2,34.34203329999946
4,225,3,35.806932399998914
4,225,4,34.84496900000158
4,225,5,34.60322320000341
4,225,6,34.19852399999945
4,225,7,35.41911020000043
4,300,0,45.99626519999947
4,300,1,45.192848999999114
4,300,2,45.85703899999862
4,300,3,46.07068380000055
4,300,4,45.77580920000037
4,300,5,47.03264950000084
4,300,6,45.07105850000153
4,300,7,46.43236319999778
8,30,0,3.1054707000002963
8,30,1,2.6141452999981993
8,30,2,2.9029007999997702
8,30,3,3.186989799996809
8,30,4,2.8504184000012174
8,30,5,2.8836607999983244
8,30,6,3.1235511000013503
8,30,7,2.9848600999976043
8,75,0,7.192970000000059
8,75,1,7.439634900001693
8,75,2,7.387590599999385
8,75,3,7.20010579999871
8,75,4,7.5614573000020755
8,75,5,6.933040899999469
8,75,6,7.0538393999995606
8,75,7,7.675546299997222
8,150,0,14.144537000000128
8,150,1,13.938628399999288
8,150,2,14.188163000002532
8,150,3,14.390242199999193
8,150,4,14.454868599998008
8,150,5,13.623469800000748
8,150,6,14.038646599998174
8,150,7,13.96351009999853
8,225,0,21.490559400001075
8,225,1,21.74291380000068
8,225,2,21.35644940000202
8,225,3,21.17233589999887
8,225,4,22.005829099998664
8,225,5,21.578436200001306
8,225,6,21.414346800000203
8,225,7,21.615116700002545
8,300,0,28.739493199998833
8,300,1,28.492999499998405
8,300,2,28.728751900001953
8,300,3,28.514483699997072
8,300,4,28.57938550000108
8,300,5,28.3422556000005
8,300,6,28.50732560000324
8,300,7,28.206696000001102
